Date,Day,Revenue
2022-01-01,1,0.0
2022-01-02,2,0.000793191
2022-01-03,3,0.825541786
2022-01-04,4,0.32033228
2022-01-05,5,1.082554085
2022-01-06,6,0.107653784
2022-01-07,7,0.493901361
2022-01-08,8,0.376698452
2022-01-09,9,0.304074848
2022-01-10,10,0.591747849
2022-01-11,11,0.731018901
2022-01-12,12,1.111586215
2022-01-13,13,0.960902689
2022-01-14,14,0.964013419
2022-01-15,15,0.979731886
2022-01-16,16,1.085546892
2022-01-17,17,1.262549787
2022-01-18,18,1.331183307
2022-01-19,19,1.411429732
2022-01-20,20,1.709116779
2022-01-21,21,1.735783527
2022-01-22,22,1.760959886
2022-01-23,23,2.558601513
2022-01-24,24,1.48420495
2022-01-25,25,2.089944633
2022-01-26,26,2.840568572
2022-01-27,27,2.162204307
2022-01-28,28,3.113269737
2022-01-29,29,2.746580938
2022-01-30,30,3.079242819
2022-01-31,31,2.647838543
2022-02-01,32,3.118230798
2022-02-02,33,2.442888497
2022-02-03,34,3.042407809
2022-02-04,35,3.012894439
2022-02-05,36,3.290825745
2022-02-06,37,3.274029416
2022-02-07,38,3.586805202
2022-02-08,39,3.170426377
2022-02-09,40,3.572077947
2022-02-10,41,2.693130469
2022-02-11,42,2.399656142
2022-02-12,43,2.433776379
2022-02-13,44,2.593848576
2022-02-14,45,3.323496491
2022-02-15,46,2.951387252
2022-02-16,47,3.216948781
2022-02-17,48,2.877026963
2022-02-18,49,3.057523831
2022-02-19,50,2.858495329
2022-02-20,51,2.533082553
2022-02-21,52,3.223959721
2022-02-22,53,2.973617615
2022-02-23,54,3.360834071
2022-02-24,55,2.31040157
2022-02-25,56,1.843596513
2022-02-26,57,1.631977575
2022-02-27,58,1.644604449
2022-02-28,59,1.497246827
2022-03-01,60,1.267859555
2022-03-02,61,1.587253694
2022-03-03,62,2.131085418
2022-03-04,63,1.995083459
2022-03-05,64,2.330776602
2022-03-06,65,1.742724907
2022-03-07,66,2.588660848
2022-03-08,67,1.505169543
2022-03-09,68,2.226315816
2022-03-10,69,2.973069578
2022-03-11,70,2.72388059
2022-03-12,71,2.964093274
2022-03-13,72,3.88820192
2022-03-14,73,3.938590458
2022-03-15,74,5.138308366
2022-03-16,75,5.482323172
2022-03-17,76,6.133334991
2022-03-18,77,6.366939393
2022-03-19,78,6.434758029
2022-03-20,79,6.102308899
2022-03-21,80,6.236527145
2022-03-22,81,6.815921859
2022-03-23,82,7.07286465
2022-03-24,83,6.274130876
2022-03-25,84,7.375977982
2022-03-26,85,6.916245052
2022-03-27,86,7.408050282
2022-03-28,87,7.863842943
2022-03-29,88,6.783895049
2022-03-30,89,7.583081086
2022-03-31,90,7.763779393
2022-04-01,91,7.344577122
2022-04-02,92,7.982311471
2022-04-03,93,6.946042709
2022-04-04,94,7.495289393
2022-04-05,95,7.450862838
2022-04-06,96,6.82734429
2022-04-07,97,7.095401048
2022-04-08,98,6.322858273
2022-04-09,99,6.453783819
2022-04-10,100,6.90142039
2022-04-11,101,6.364222316
2022-04-12,102,6.487956156
2022-04-13,103,6.055526889
2022-04-14,104,6.416777674
2022-04-15,105,6.695885552
2022-04-16,106,6.381637205
2022-04-17,107,6.151061938
2022-04-18,108,6.604086168
2022-04-19,109,7.181114215
2022-04-20,110,7.946744172
2022-04-21,111,8.034009599
2022-04-22,112,8.034351705
2022-04-23,113,7.944531429
2022-04-24,114,7.573324241
2022-04-25,115,7.164514393
2022-04-26,116,6.309727531
2022-04-27,117,7.418626769
2022-04-28,118,7.00182315
2022-04-29,119,8.029547488
2022-04-30,120,7.330337859
2022-05-01,121,7.606007772
2022-05-02,122,7.110366293
2022-05-03,123,7.131337879
2022-05-04,124,6.76488602
2022-05-05,125,7.260526894
2022-05-06,126,7.544141343
2022-05-07,127,7.33093608
2022-05-08,128,7.568258573
2022-05-09,129,7.486801358
2022-05-10,130,8.117012517
2022-05-11,131,7.415766826
2022-05-12,132,7.780389211
2022-05-13,133,7.830950713
2022-05-14,134,7.92206928
2022-05-15,135,7.76971031
2022-05-16,136,8.176501818
2022-05-17,137,7.753128355
2022-05-18,138,7.44780328
2022-05-19,139,6.606752799
2022-05-20,140,7.60677813
2022-05-21,141,7.157498503
2022-05-22,142,7.218478047
2022-05-23,143,7.485049457
2022-05-24,144,7.152312945
2022-05-25,145,7.506441261
2022-05-26,146,7.029261517
2022-05-27,147,7.06516091
2022-05-28,148,6.585496947
2022-05-29,149,6.108246159
2022-05-30,150,5.913673164
2022-05-31,151,6.844251596
2022-06-01,152,5.936896508
2022-06-02,153,7.146617054
2022-06-03,154,5.698388374
2022-06-04,155,6.41938589
2022-06-05,156,5.351951701
2022-06-06,157,6.013657257
2022-06-07,158,5.676967765
2022-06-08,159,5.362054145
2022-06-09,160,5.136908683
2022-06-10,161,6.13872931
2022-06-11,162,5.468684959
2022-06-12,163,5.457250359
2022-06-13,164,6.305916197
2022-06-14,165,6.15007653
2022-06-15,166,6.565829307
2022-06-16,167,6.966321242
2022-06-17,168,6.31170634
2022-06-18,169,5.943952602
2022-06-19,170,5.841843614
2022-06-20,171,6.681780332
2022-06-21,172,5.664625151
2022-06-22,173,5.481281548
2022-06-23,174,5.671976498
2022-06-24,175,5.188018593
2022-06-25,176,5.609863758
2022-06-26,177,4.907574806
2022-06-27,178,5.437139336
2022-06-28,179,5.298284266
2022-06-29,180,5.412603871
2022-06-30,181,5.674703941
2022-07-01,182,6.233395622
2022-07-02,183,5.964008868
2022-07-03,184,6.223849962
2022-07-04,185,6.179556586
2022-07-05,186,5.921670524
2022-07-06,187,6.277405791
2022-07-07,188,5.871568903
2022-07-08,189,5.816199182
2022-07-09,190,6.43853443
2022-07-10,191,5.90074056
2022-07-11,192,6.213554554
2022-07-12,193,5.561818866
2022-07-13,194,6.015062568
2022-07-14,195,6.245567733
2022-07-15,196,5.617964732
2022-07-16,197,6.047722333
2022-07-17,198,5.328600654
2022-07-18,199,5.984050593
2022-07-19,200,5.718670217
2022-07-20,201,6.168549778
2022-07-21,202,6.419179952
2022-07-22,203,6.770455873
2022-07-23,204,6.460004712
2022-07-24,205,5.973167431
2022-07-25,206,5.589806569
2022-07-26,207,5.966559897
2022-07-27,208,6.50841071
2022-07-28,209,5.914158993
2022-07-29,210,6.137185499
2022-07-30,211,6.701932741
2022-07-31,212,6.481133865
2022-08-01,213,6.502357716
2022-08-02,214,7.223705866
2022-08-03,215,6.832373048
2022-08-04,216,6.946346894
2022-08-05,217,6.239278536
2022-08-06,218,7.064640345
2022-08-07,219,6.695172714
2022-08-08,220,5.680079038
2022-08-09,221,6.412772263
2022-08-10,222,5.811691619
2022-08-11,223,6.18833241
2022-08-12,224,5.280124523
2022-08-13,225,6.278287558
2022-08-14,226,6.708512399
2022-08-15,227,6.524116876
2022-08-16,228,6.378960244
2022-08-17,229,6.434691767
2022-08-18,230,6.47520127
2022-08-19,231,7.384317349
2022-08-20,232,7.651861894
2022-08-21,233,8.701207113
2022-08-22,234,7.591809144
2022-08-23,235,8.133817813
2022-08-24,236,7.353039585
2022-08-25,237,7.544987314
2022-08-26,238,7.065749819
2022-08-27,239,7.550080449
2022-08-28,240,7.568530826
2022-08-29,241,6.781578804
2022-08-30,242,6.518598196
2022-08-31,243,6.365795463
2022-09-01,244,6.779827762
2022-09-02,245,6.517114237
2022-09-03,246,6.705527436
2022-09-04,247,7.092380299
2022-09-05,248,7.058309661
2022-09-06,249,6.544608743
2022-09-07,250,7.42956329
2022-09-08,251,7.721857658
2022-09-09,252,6.502133156
2022-09-10,253,7.391609269
2022-09-11,254,6.989221405
2022-09-12,255,7.45339929
2022-09-13,256,7.591757865
2022-09-14,257,7.766084958
2022-09-15,258,8.361602643
2022-09-16,259,8.037333381
2022-09-17,260,8.959983524
2022-09-18,261,9.15113802
2022-09-19,262,8.905577837
2022-09-20,263,9.415349311
2022-09-21,264,9.724684431
2022-09-22,265,10.09011507
2022-09-23,266,10.25465961
2022-09-24,267,9.549328447
2022-09-25,268,10.08531775
2022-09-26,269,10.86821621
2022-09-27,270,10.43282617
2022-09-28,271,11.15156592
2022-09-29,272,10.64484963
2022-09-30,273,10.96487737
2022-10-01,274,11.68964623
2022-10-02,275,10.89802648
2022-10-03,276,11.15595137
2022-10-04,277,11.12450766
2022-10-05,278,11.45453995
2022-10-06,279,10.88066325
2022-10-07,280,11.39306098
2022-10-08,281,11.55030041
2022-10-09,282,11.35877212
2022-10-10,283,11.40012934
2022-10-11,284,10.80415319
2022-10-12,285,10.95113957
2022-10-13,286,10.00965452
2022-10-14,287,10.63852616
2022-10-15,288,10.11305364
2022-10-16,289,10.0095536
2022-10-17,290,10.2115207
2022-10-18,291,10.17354697
2022-10-19,292,9.849481019
2022-10-20,293,10.24676663
2022-10-21,294,9.835264689
2022-10-22,295,10.49314322
2022-10-23,296,9.603350087
2022-10-24,297,9.24876006
2022-10-25,298,9.401037919
2022-10-26,299,9.939871378
2022-10-27,300,10.13535112
2022-10-28,301,9.647129671
2022-10-29,302,10.78557055
2022-10-30,303,9.760365268
2022-10-31,304,10.3869437
2022-11-01,305,10.4788635
2022-11-02,306,10.57752336
2022-11-03,307,10.47291662
2022-11-04,308,10.40893697
2022-11-05,309,9.654938495
2022-11-06,310,9.834805834
2022-11-07,311,9.425696511
2022-11-08,312,9.55456512
2022-11-09,313,10.10855667
2022-11-10,314,9.526518729
2022-11-11,315,10.03160103
2022-11-12,316,9.68084097
2022-11-13,317,9.70637883
2022-11-14,318,8.587347032
2022-11-15,319,9.048395345
2022-11-16,320,8.263694395
2022-11-17,321,9.0399819
2022-11-18,322,9.163766036
2022-11-19,323,9.518616967
2022-11-20,324,8.592423729
2022-11-21,325,8.600153773
2022-11-22,326,8.899976886
2022-11-23,327,9.491880902
2022-11-24,328,9.119437222
2022-11-25,329,10.17182049
2022-11-26,330,10.15898941
2022-11-27,331,10.88522035
2022-11-28,332,10.05228172
2022-11-29,333,10.22987502
2022-11-30,334,9.841212706
2022-12-01,335,10.49074993
2022-12-02,336,10.19191851
2022-12-03,337,10.01436423
2022-12-04,338,9.99085923
2022-12-05,339,10.02681131
2022-12-06,340,9.525744753
2022-12-07,341,9.765642634
2022-12-08,342,9.555497572
2022-12-09,343,9.11228015
2022-12-10,344,8.759691125
2022-12-11,345,9.249328093
2022-12-12,346,8.77552317
2022-12-13,347,9.854105527
2022-12-14,348,10.25335772
2022-12-15,349,9.9843748
2022-12-16,350,11.06398076
2022-12-17,351,10.71010619
2022-12-18,352,11.25761409
2022-12-19,353,10.60928267
2022-12-20,354,11.32932884
2022-12-21,355,11.16053242
2022-12-22,356,11.33996004
2022-12-23,357,11.54239828
2022-12-24,358,11.79270684
2022-12-25,359,11.70526835
2022-12-26,360,11.89753587
2022-12-27,361,11.78967252
2022-12-28,362,11.61994787
2022-12-29,363,11.96826033
2022-12-30,364,12.28792621
2022-12-31,365,12.43813368
2023-01-01,366,11.99189083
2023-01-02,367,11.85068671
2023-01-03,368,12.26622586
2023-01-04,369,11.15803183
2023-01-05,370,12.11997933
2023-01-06,371,11.76873233
2023-01-07,372,11.12803578
2023-01-08,373,10.86603266
2023-01-09,374,10.23757712
2023-01-10,375,10.14320748
2023-01-11,376,10.46689075
2023-01-12,377,10.69625935
2023-01-13,378,10.45534182
2023-01-14,379,10.83652579
2023-01-15,380,10.71043553
2023-01-16,381,11.51680064
2023-01-17,382,11.29962526
2023-01-18,383,12.04357266
2023-01-19,384,12.37934218
2023-01-20,385,12.06734366
2023-01-21,386,11.21216257
2023-01-22,387,10.75617064
2023-01-23,388,10.85446209
2023-01-24,389,10.62193078
2023-01-25,390,10.39052456
2023-01-26,391,11.32402028
2023-01-27,392,11.23435857
2023-01-28,393,10.63505592
2023-01-29,394,11.86507245
2023-01-30,395,11.64172029
2023-01-31,396,12.27268843
2023-02-01,397,12.12051353
2023-02-02,398,12.51634578
2023-02-03,399,11.95056055
2023-02-04,400,12.22118708
2023-02-05,401,12.27182008
2023-02-06,402,12.28144634
2023-02-07,403,12.05270478
2023-02-08,404,12.42338133
2023-02-09,405,11.85932698
2023-02-10,406,11.73912658
2023-02-11,407,11.92291
2023-02-12,408,12.157616
2023-02-13,409,11.79346872
2023-02-14,410,11.9430778
2023-02-15,411,11.36953639
2023-02-16,412,11.64293102
2023-02-17,413,10.89965094
2023-02-18,414,11.51358095
2023-02-19,415,10.95912682
2023-02-20,416,10.31231737
2023-02-21,417,10.77773788
2023-02-22,418,11.03581856
2023-02-23,419,11.04543669
2023-02-24,420,11.63735871
2023-02-25,421,11.84817774
2023-02-26,422,11.30317125
2023-02-27,423,10.85196452
2023-02-28,424,11.58185214
2023-03-01,425,10.9251649
2023-03-02,426,11.58242318
2023-03-03,427,11.714175
2023-03-04,428,11.85870991
2023-03-05,429,12.4743538
2023-03-06,430,13.28181359
2023-03-07,431,12.38885091
2023-03-08,432,12.69666202
2023-03-09,433,12.75891555
2023-03-10,434,12.79436534
2023-03-11,435,13.03626492
2023-03-12,436,12.61389051
2023-03-13,437,13.20618288
2023-03-14,438,11.33646421
2023-03-15,439,12.33494046
2023-03-16,440,12.2952658
2023-03-17,441,12.27980845
2023-03-18,442,12.42600982
2023-03-19,443,12.25776278
2023-03-20,444,11.87191996
2023-03-21,445,12.67618483
2023-03-22,446,12.1142837
2023-03-23,447,11.96338146
2023-03-24,448,12.44743229
2023-03-25,449,12.72511952
2023-03-26,450,12.5116333
2023-03-27,451,12.17234837
2023-03-28,452,11.97771742
2023-03-29,453,12.23245368
2023-03-30,454,12.37410985
2023-03-31,455,12.98195912
2023-04-01,456,12.49576931
2023-04-02,457,13.41855217
2023-04-03,458,12.310697
2023-04-04,459,11.70179391
2023-04-05,460,12.4746098
2023-04-06,461,12.30447328
2023-04-07,462,11.91232484
2023-04-08,463,12.06182155
2023-04-09,464,11.82917264
2023-04-10,465,11.82716412
2023-04-11,466,12.1895535
2023-04-12,467,11.78537286
2023-04-13,468,11.63884845
2023-04-14,469,11.63896413
2023-04-15,470,11.88642246
2023-04-16,471,11.85488462
2023-04-17,472,11.84609015
2023-04-18,473,11.74862167
2023-04-19,474,11.87811409
2023-04-20,475,12.20198435
2023-04-21,476,11.45912015
2023-04-22,477,12.34953765
2023-04-23,478,11.87079189
2023-04-24,479,12.42081087
2023-04-25,480,12.85218592
2023-04-26,481,12.79460121
2023-04-27,482,13.62608898
2023-04-28,483,13.22768706
2023-04-29,484,13.67048893
2023-04-30,485,13.02040072
2023-05-01,486,14.02855963
2023-05-02,487,13.70373558
2023-05-03,488,13.14141166
2023-05-04,489,14.58439135
2023-05-05,490,12.99860149
2023-05-06,491,13.94233027
2023-05-07,492,13.35883336
2023-05-08,493,13.14583676
2023-05-09,494,13.14194539
2023-05-10,495,13.78288481
2023-05-11,496,13.2471014
2023-05-12,497,12.91791795
2023-05-13,498,13.08170823
2023-05-14,499,12.56804083
2023-05-15,500,12.74694261
2023-05-16,501,12.35284367
2023-05-17,502,12.98090483
2023-05-18,503,12.90913353
2023-05-19,504,12.5920623
2023-05-20,505,12.53504785
2023-05-21,506,12.85674512
2023-05-22,507,12.26760949
2023-05-23,508,11.98661548
2023-05-24,509,12.52412042
2023-05-25,510,12.66745399
2023-05-26,511,12.25648214
2023-05-27,512,11.91079143
2023-05-28,513,11.78397433
2023-05-29,514,11.92127457
2023-05-30,515,12.158925
2023-05-31,516,11.81057468
2023-06-01,517,11.88975226
2023-06-02,518,11.69825461
2023-06-03,519,12.17167502
2023-06-04,520,11.82052751
2023-06-05,521,11.15347885
2023-06-06,522,11.23717709
2023-06-07,523,11.15107411
2023-06-08,524,11.08064513
2023-06-09,525,11.64138463
2023-06-10,526,11.64244469
2023-06-11,527,11.37726013
2023-06-12,528,12.70618117
2023-06-13,529,12.65099724
2023-06-14,530,12.6903084
2023-06-15,531,13.02786915
2023-06-16,532,12.80178234
2023-06-17,533,13.42265358
2023-06-18,534,12.80727665
2023-06-19,535,12.80567703
2023-06-20,536,11.92365881
2023-06-21,537,12.49031206
2023-06-22,538,12.71389921
2023-06-23,539,12.53482273
2023-06-24,540,13.43723176
2023-06-25,541,13.63800734
2023-06-26,542,12.95851121
2023-06-27,543,13.00209354
2023-06-28,544,12.19453438
2023-06-29,545,12.65658197
2023-06-30,546,12.26725363
2023-07-01,547,12.46538558
2023-07-02,548,11.52944628
2023-07-03,549,11.91740943
2023-07-04,550,11.38219886
2023-07-05,551,11.26626767
2023-07-06,552,11.76828749
2023-07-07,553,11.87538744
2023-07-08,554,12.58730685
2023-07-09,555,12.39629138
2023-07-10,556,12.80282887
2023-07-11,557,12.24385654
2023-07-12,558,12.67030902
2023-07-13,559,13.31219796
2023-07-14,560,13.31603826
2023-07-15,561,13.04627103
2023-07-16,562,12.75132567
2023-07-17,563,12.78686786
2023-07-18,564,13.44438984
2023-07-19,565,13.73178244
2023-07-20,566,13.10876341
2023-07-21,567,14.05092571
2023-07-22,568,13.78269338
2023-07-23,569,14.17450212
2023-07-24,570,14.56967641
2023-07-25,571,13.67098592
2023-07-26,572,13.98910617
2023-07-27,573,14.24029335
2023-07-28,574,13.93475205
2023-07-29,575,14.02469716
2023-07-30,576,14.41839801
2023-07-31,577,13.5356501
2023-08-01,578,13.66849178
2023-08-02,579,13.60088212
2023-08-03,580,13.93891958
2023-08-04,581,14.05218356
2023-08-05,582,13.52047837
2023-08-06,583,13.08264299
2023-08-07,584,13.50488575
2023-08-08,585,13.68482591
2023-08-09,586,13.15290319
2023-08-10,587,13.31029028
2023-08-11,588,12.66560082
2023-08-12,589,13.66065769
2023-08-13,590,13.22188221
2023-08-14,591,13.66726695
2023-08-15,592,13.90272062
2023-08-16,593,13.08160973
2023-08-17,594,14.04196943
2023-08-18,595,14.31322806
2023-08-19,596,15.11370708
2023-08-20,597,14.55937527
2023-08-21,598,14.47191087
2023-08-22,599,14.00773834
2023-08-23,600,14.38743999
2023-08-24,601,14.48840167
2023-08-25,602,14.65165077
2023-08-26,603,14.51457225
2023-08-27,604,14.92224878
2023-08-28,605,14.19465212
2023-08-29,606,14.1137927
2023-08-30,607,13.64436482
2023-08-31,608,14.57006597
2023-09-01,609,13.70952729
2023-09-02,610,14.0105535
2023-09-03,611,14.42484355
2023-09-04,612,13.71071969
2023-09-05,613,13.30590294
2023-09-06,614,13.70184262
2023-09-07,615,13.4939323
2023-09-08,616,13.60321536
2023-09-09,617,12.709116
2023-09-10,618,12.56578173
2023-09-11,619,12.29204511
2023-09-12,620,12.49372294
2023-09-13,621,12.22476014
2023-09-14,622,12.37883736
2023-09-15,623,11.86318822
2023-09-16,624,11.95917661
2023-09-17,625,11.6136404
2023-09-18,626,10.92231613
2023-09-19,627,10.69381706
2023-09-20,628,9.796640702
2023-09-21,629,10.02455082
2023-09-22,630,10.25129418
2023-09-23,631,10.16837721
2023-09-24,632,10.12922394
2023-09-25,633,10.03817646
2023-09-26,634,9.946258256
2023-09-27,635,9.819163247
2023-09-28,636,10.96613807
2023-09-29,637,10.27845019
2023-09-30,638,10.87216455
2023-10-01,639,10.58298221
2023-10-02,640,10.5051701
2023-10-03,641,10.58489695
2023-10-04,642,10.31046583
2023-10-05,643,10.18655992
2023-10-06,644,10.63566981
2023-10-07,645,10.58623485
2023-10-08,646,10.49470146
2023-10-09,647,10.53012782
2023-10-10,648,11.6697284
2023-10-11,649,10.93910566
2023-10-12,650,11.25043349
2023-10-13,651,11.10082439
2023-10-14,652,11.56193798
2023-10-15,653,12.00135944
2023-10-16,654,11.9636437
2023-10-17,655,12.67651716
2023-10-18,656,12.59589118
2023-10-19,657,13.50372538
2023-10-20,658,12.52480966
2023-10-21,659,13.58617103
2023-10-22,660,13.65152094
2023-10-23,661,13.50747349
2023-10-24,662,13.6003226
2023-10-25,663,12.91172575
2023-10-26,664,13.12942153
2023-10-27,665,12.88747154
2023-10-28,666,12.57004373
2023-10-29,667,12.38921609
2023-10-30,668,12.52303613
2023-10-31,669,12.78698765
2023-11-01,670,12.90053284
2023-11-02,671,13.72420584
2023-11-03,672,13.53927692
2023-11-04,673,12.96144201
2023-11-05,674,12.60190222
2023-11-06,675,13.19403382
2023-11-07,676,13.02494603
2023-11-08,677,11.95978435
2023-11-09,678,13.04856333
2023-11-10,679,12.09273847
2023-11-11,680,12.74880565
2023-11-12,681,12.15194817
2023-11-13,682,13.68801758
2023-11-14,683,12.68174728
2023-11-15,684,13.25007071
2023-11-16,685,12.52233421
2023-11-17,686,12.87797176
2023-11-18,687,12.74760906
2023-11-19,688,13.95946905
2023-11-20,689,12.95734948
2023-11-21,690,14.3575701
2023-11-22,691,14.31367533
2023-11-23,692,14.4417502
2023-11-24,693,14.89664447
2023-11-25,694,15.49596954
2023-11-26,695,15.12120536
2023-11-27,696,15.81472479
2023-11-28,697,14.95180243
2023-11-29,698,15.69224206
2023-11-30,699,15.32256273
2023-12-01,700,15.48148898
2023-12-02,701,15.0779299
2023-12-03,702,15.26982882
2023-12-04,703,15.56393486
2023-12-05,704,15.70968355
2023-12-06,705,16.27057613
2023-12-07,706,15.86464801
2023-12-08,707,16.79198088
2023-12-09,708,16.44669768
2023-12-10,709,15.57683314
2023-12-11,710,16.51737488
2023-12-12,711,16.79290034
2023-12-13,712,16.69296483
2023-12-14,713,17.15234138
2023-12-15,714,17.90318899
2023-12-16,715,17.47106673
2023-12-17,716,17.14585013
2023-12-18,717,17.94883403
2023-12-19,718,18.15476909
2023-12-20,719,17.76881703
2023-12-21,720,17.25084632
2023-12-22,721,17.95227784
2023-12-23,722,17.25593422
2023-12-24,723,17.58362651
2023-12-25,724,16.82175807
2023-12-26,725,17.45905614
2023-12-27,726,16.76127825
2023-12-28,727,16.93155866
2023-12-29,728,17.49066618
2023-12-30,729,16.80363798
2023-12-31,730,16.1948135
2024-01-01,731,16.6207985
